序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,832469,富恒新材,17.65,20.89,3.05,273639.0,468634989.35,30.0,18.48,14.1,14.1,14.6,3.89,27.94,47.42,5.17,2487696900.0,1728800750.0,-0.51,-0.28,43.38,52.16
2,301131,聚赛龙,45.88,20.01,7.65,54754.0,242999606.92,21.61,45.88,37.62,37.62,38.23,7.93,17.78,34.69,2.57,2192647777.0,1413015497.0,0.0,0.0,30.94,32.99
3,300548,博创科技,44.5,20.01,7.42,292942.0,1276733197.1,7.15,44.5,41.85,43.77,37.08,2.6,10.97,35.83,7.7,12857330621.0,11878330621.0,0.0,0.0,-26.07,-4.12
4,688280,精进电动-UW,5.82,20.0,0.97,160306.0,91268328.0,9.9,5.82,5.34,5.34,4.85,4.92,3.08,17.7,5.46,3435090102.0,3029566924.0,0.0,0.0,28.48,32.57
5,300571,平治信息,32.46,20.0,5.41,154783.0,470340510.0,16.49,32.46,28.0,28.0,27.05,8.08,13.39,107.61,3.11,4529088423.0,3752488636.0,0.0,0.0,23.42,29.43
6,301076,新瀚新材,41.17,19.99,6.86,193127.0,746655144.22,18.07,41.17,34.97,34.97,34.31,2.35,22.86,85.53,4.75,5538353080.0,3477606227.0,0.0,0.0,18.65,33.15
7,300879,大叶股份,23.68,17.11,3.46,350191.0,761709604.62,21.17,24.09,19.81,22.72,20.22,5.65,17.42,6.17,3.42,4792804365.0,4760353649.0,1.63,2.82,43.86,51.02
8,300652,雷迪克,72.89,16.81,10.49,90887.0,637362760.86,20.87,74.88,61.86,63.8,62.4,2.93,9.87,53.52,5.25,7479106814.0,6712492143.0,1.31,1.25,147.59,145.26
9,301209,联合化学,96.8,16.74,13.88,61129.0,574456338.83,15.99,99.5,86.24,86.24,82.92,2.5,24.95,117.03,10.37,7744000000.0,2371600000.0,-0.19,-0.08,222.67,257.86
10,838810,春光智能,16.38,16.5,2.32,54718.0,88295855.02,21.05,17.4,14.44,14.44,14.06,4.54,12.27,94.15,4.86,1122030000.0,730168279.0,0.92,1.36,91.58,89.58
11,300973,立高食品,43.23,16.27,6.05,131259.0,553624061.2,12.51,44.27,39.62,40.0,37.18,4.79,11.53,20.71,3.08,7320588561.0,4920114202.0,1.24,0.82,9.92,10.76
12,300157,新锦动力,3.68,15.36,0.49,1217238.0,418352890.78,15.99,3.74,3.23,3.35,3.19,9.55,17.28,9.95,-11.56,2669796786.0,2591553914.0,0.55,0.55,31.43,26.9
13,301372,科净源,18.53,14.38,2.33,52485.0,98724436.26,16.05,19.44,16.84,16.84,16.2,9.08,12.75,28.27,1.62,1270628598.0,762888346.0,0.05,0.11,-3.54,-8.58
14,836247,华密新材,27.46,13.85,3.34,81851.0,216355205.71,19.73,27.97,23.21,23.4,24.12,3.19,9.31,88.15,7.19,3327817537.0,2412998127.0,2.31,1.89,29.71,32.21
15,300573,兴齐眼药,81.75,13.53,9.74,163622.0,1305262587.68,10.83,84.0,76.2,79.9,72.01,7.51,12.16,24.55,8.22,14326625942.0,11004178004.0,-0.22,-0.06,15.88,17.15
16,300695,兆丰股份,68.59,13.5,8.16,19545.0,125472410.18,14.15,68.87,60.32,60.35,60.43,1.73,2.76,38.66,1.88,4865079920.0,4865079920.0,2.99,3.67,42.01,53.79
17,300911,亿田智能,44.55,12.5,4.95,80368.0,345875308.59,16.41,45.85,39.35,39.48,39.6,4.67,6.19,-36.31,4.71,6194472080.0,5783273263.0,-0.34,0.11,58.94,70.82
18,831195,三祥科技,16.05,12.32,1.76,65107.0,103602364.7,11.76,16.8,15.12,15.2,14.29,8.76,9.2,16.61,2.07,1573381500.0,1135681709.0,-0.06,-0.06,37.77,46.17
19,301196,唯科科技,67.28,12.23,7.33,89688.0,564833439.66,14.08,67.9,59.46,63.0,59.95,2.5,13.33,27.12,2.62,8396544000.0,4525743137.0,-0.83,0.07,90.27,104.69
20,300225,金力泰,3.6,11.8,0.38,795224.0,270705934.16,26.71,3.86,3.0,3.0,3.22,3.05,16.76,55.37,2.0,1711546524.0,1707658524.0,0.0,0.0,-49.37,-44.27
21,688593,新相微,17.96,11.76,1.89,78081.0,134888756.0,14.93,18.31,15.91,16.06,16.07,4.03,2.45,944.24,5.32,8253148240.0,5729338564.0,-0.44,-0.72,-12.43,-1.86
22,688147,微导纳米,31.29,11.67,3.27,64247.0,197586461.0,7.42,31.56,29.48,30.0,28.02,6.63,6.58,42.57,5.37,14320748656.0,3056348656.0,-0.35,-0.41,22.08,16.36
23,301526,国际复材,3.7,11.45,0.38,671668.0,244385148.67,9.34,3.78,3.47,3.48,3.32,6.11,4.78,66.22,1.74,13952248778.0,5196253815.0,0.27,-0.27,13.15,0.0
24,688716,中研股份,42.58,10.8,4.15,148928.0,622167314.0,18.66,44.97,37.8,37.8,38.43,2.57,21.72,228.84,4.4,5181134400.0,2920074787.0,-0.23,0.24,-1.87,17.14
25,300533,冰川网络,22.73,10.23,2.11,226670.0,494740316.06,11.01,22.97,20.7,21.0,20.62,3.37,13.75,7.05,3.66,5325714691.0,3746379648.0,0.09,0.0,3.37,15.03
26,600281,华阳新材,4.03,10.11,0.37,416087.0,161835972.0,10.38,4.03,3.65,3.68,3.66,6.19,8.09,5.24,12.95,2073040161.0,2073040161.0,0.0,0.0,24.77,23.24
27,601003,柳钢股份,3.27,10.1,0.3,387002.0,126545983.0,1.01,3.27,3.24,3.27,2.97,7.5,1.51,8.04,0.97,8380333764.0,8380333764.0,0.0,0.0,21.11,18.48
28,002587,奥拓电子,5.67,10.1,0.52,218929.0,122385791.35,5.63,5.67,5.38,5.61,5.15,5.87,4.25,67.9,2.77,3694255365.0,2921314319.0,0.0,0.0,-4.87,-5.5
29,688360,德马科技,22.93,10.08,2.1,63905.0,143557243.0,11.86,23.31,20.84,20.95,20.83,3.86,3.67,46.69,3.12,4319777243.0,3991315563.0,0.0,0.79,7.3,23.41
30,603680,今创集团,9.08,10.06,0.83,68987.0,62609098.0,1.58,9.08,8.95,9.08,8.25,3.04,0.88,11.91,1.3,7116166404.0,7116166404.0,0.0,0.0,4.25,9.4
31,002852,道道全,9.63,10.06,0.88,100792.0,96235183.7,5.6,9.63,9.14,9.14,8.75,1.75,3.53,8.06,1.52,3312414777.0,2752434524.0,0.0,0.0,18.74,18.45
32,002786,银宝山新,8.87,10.05,0.81,150129.0,130374024.0,10.17,8.87,8.05,8.05,8.06,3.9,3.04,-67.62,20.14,4396078440.0,4382773440.0,0.0,0.0,-2.31,-4.11
33,603313,梦百合,7.67,10.04,0.7,318635.0,236579203.0,8.03,7.67,7.11,7.21,6.97,3.92,5.58,18.63,1.18,4376401408.0,4376401408.0,1.32,2.13,11.97,14.48
34,002633,申科股份,12.27,10.04,1.12,43786.0,52383529.73,7.71,12.27,11.41,12.0,11.15,2.72,2.93,268.13,4.39,1840500000.0,1833368063.0,0.0,0.0,14.78,14.14
35,603335,迪生力,4.39,10.03,0.4,312231.0,136037890.0,11.03,4.39,3.95,3.95,3.99,2.02,7.29,-20.35,5.52,1879554794.0,1879554794.0,0.0,0.0,2.81,-20.9
36,603086,先达股份,8.78,10.03,0.8,1113203.0,921987106.0,14.79,8.78,7.6,7.94,7.98,2.44,25.6,44.0,1.92,3817659396.0,3817659396.0,0.0,0.0,107.08,105.14
37,603359,东珠生态,6.91,10.03,0.63,738623.0,503303105.0,8.92,6.91,6.35,6.35,6.28,2.42,16.56,-1951.65,1.15,3082523360.0,3082523360.0,0.0,0.0,54.59,24.95
38,003037,三和管桩,6.91,10.03,0.63,302865.0,207499018.97,5.57,6.91,6.56,6.57,6.28,3.56,5.12,29.91,1.48,4139606025.0,4091236025.0,0.0,0.0,15.75,-6.24
39,002009,天奇股份,14.37,10.03,1.31,260163.0,372306162.92,2.6,14.37,14.03,14.11,13.06,2.6,7.36,34.16,2.92,5780091185.0,5081016278.0,0.0,0.0,-2.91,-5.58
40,600278,东方创业,7.9,10.03,0.72,355963.0,271917766.0,12.12,7.9,7.03,7.3,7.18,1.35,4.08,31.14,0.92,6929435522.0,6888132900.0,0.0,0.0,21.54,13.02
41,002382,蓝帆医疗,4.94,10.02,0.45,161286.0,78773172.52,5.57,4.94,4.69,4.69,4.49,5.72,1.61,16.15,0.62,4975217942.0,4938504479.0,0.0,0.0,3.78,-3.7
42,002915,中欣氟材,19.43,10.02,1.77,372119.0,709448484.4,7.08,19.43,18.18,19.37,17.66,1.2,12.91,507.45,4.86,6323850526.0,5601792866.0,0.0,0.0,39.58,52.03
43,603040,新坐标,31.54,10.01,2.87,48497.0,150817357.0,5.02,31.54,30.1,30.43,28.67,2.07,3.59,16.11,3.01,4305774440.0,4259899510.0,0.0,0.0,28.58,38.21
44,603255,鼎际得,23.96,10.01,2.18,37675.0,86674094.0,11.98,23.96,21.35,21.57,21.78,2.3,6.21,-239.23,2.04,3225295541.0,1453778942.0,0.0,0.0,-18.59,-28.86
45,002345,潮宏基,10.44,10.01,0.95,783726.0,812170956.4,8.11,10.44,9.67,9.68,9.49,3.68,9.04,12.28,2.49,9276072661.0,9051525571.0,0.1,0.19,103.51,79.69
46,002196,方正电机,10.34,10.0,0.94,732107.0,718996295.65,13.09,10.34,9.11,9.11,9.4,2.19,14.99,-85.25,3.7,5127315756.0,5050163608.0,0.0,0.0,72.05,92.91
47,003017,大洋生物,25.96,10.0,2.36,83975.0,211070159.6,12.58,25.96,22.99,22.99,23.6,2.35,12.14,18.58,2.02,2180640000.0,1795353699.0,0.0,0.0,30.65,39.42
48,603629,利通电子,23.97,10.0,2.18,200811.0,473835531.0,9.13,23.97,21.98,21.98,21.79,3.37,7.88,52.89,3.68,6230522100.0,6107556000.0,0.0,0.0,9.75,20.39
49,603816,顾家家居,25.07,10.0,2.28,164303.0,404168086.0,4.61,25.07,24.02,24.02,22.79,5.06,2.02,9.92,1.98,20604820381.0,20361007411.0,0.0,0.0,-11.94,-9.1
50,002048,宁波华翔,16.06,10.0,1.46,510363.0,800942367.59,11.1,16.06,14.44,14.6,14.6,5.43,7.19,12.77,1.1,13070159939.0,11399410211.0,0.0,0.0,28.58,27.26
51,605599,菜百股份,13.53,10.0,1.23,157838.0,212578469.0,4.31,13.53,13.0,13.0,12.3,4.96,2.03,8.23,2.42,10523333634.0,10523333634.0,0.0,0.0,22.33,19.21
52,603958,哈森股份,18.38,9.99,1.67,80900.0,144518704.0,9.93,18.38,16.72,16.86,16.71,3.17,3.69,180.31,5.66,4031836800.0,4031836800.0,0.0,0.0,46.34,3.32
53,603790,雅运股份,18.73,9.98,1.7,50281.0,91010958.0,11.27,18.73,16.81,17.03,17.03,3.24,2.63,32.55,2.89,3584172800.0,3584172800.0,0.0,0.0,47.02,69.96
54,002568,百润股份,26.33,9.98,2.39,157800.0,399653583.88,9.19,26.33,24.13,24.15,23.94,3.18,2.2,38.09,5.89,27629884585.0,18904512532.0,0.0,1.62,4.69,-6.0
55,603938,三孚股份,14.33,9.98,1.3,141840.0,201248865.0,7.14,14.33,13.4,13.52,13.03,2.55,3.71,50.76,2.23,5483009042.0,5483009042.0,0.0,0.0,37.26,32.56
56,002229,鸿博股份,14.44,9.98,1.31,620152.0,880882839.42,5.64,14.44,13.7,14.21,13.13,7.1,12.57,21.18,5.36,7165005087.0,7121292506.0,0.0,0.0,31.27,20.43
57,603065,宿迁联盛,9.26,9.98,0.84,63776.0,59056178.0,0.0,9.26,9.26,9.26,8.42,1.04,3.24,124.64,1.88,3879639717.0,1821196193.0,0.0,0.0,26.16,27.37
58,002365,永安药业,14.34,9.97,1.3,560560.0,773289830.78,10.28,14.34,13.0,13.04,13.04,1.8,22.83,-241.9,2.14,4225747050.0,3521331848.0,0.0,0.0,75.52,79.47
59,000698,沈阳化工,3.75,9.97,0.34,258666.0,94728318.34,10.26,3.75,3.4,3.44,3.41,1.91,3.29,23.75,2.17,3073178981.0,2946414274.0,0.0,0.0,19.43,11.28
60,002809,红墙股份,13.01,9.97,1.18,532452.0,679417195.01,8.37,13.01,12.02,12.02,11.83,1.84,38.66,269.53,1.7,2735079498.0,1791934341.0,0.0,0.0,59.05,64.06
61,600774,汉商集团,8.16,9.97,0.74,98796.0,77778270.0,10.38,8.16,7.39,7.41,7.42,3.06,3.35,724.28,1.44,2407464400.0,2405911789.0,0.0,0.0,16.74,8.95
62,002164,宁波东力,8.17,9.96,0.74,608337.0,480593719.34,7.4,8.17,7.62,7.64,7.43,2.4,12.68,68.58,3.13,4347859039.0,3919763531.0,0.0,0.0,38.24,63.07
63,002376,新北洋,7.41,9.94,0.67,657909.0,472036115.99,8.75,7.41,6.82,6.97,6.74,5.64,8.35,304.96,1.54,6006268429.0,5835112353.0,0.0,0.0,13.82,13.65
64,000565,渝三峡Ａ,6.86,9.94,0.62,112963.0,77492604.28,0.0,6.86,6.86,6.86,6.24,1.36,2.61,141.64,2.39,2974442629.0,2974442629.0,0.0,0.0,30.67,26.8
65,002513,蓝丰生化,4.43,9.93,0.4,130349.0,56397071.8,9.68,4.43,4.04,4.04,4.03,4.6,4.94,-18.76,132.65,1662491632.0,1168882833.0,0.0,0.0,5.48,-1.12
66,002055,得润电子,5.32,9.92,0.48,300656.0,159597045.6,2.69,5.32,5.19,5.19,4.84,4.0,5.05,25.07,2.33,3215886890.0,3164696542.0,0.0,0.0,-10.29,-26.11
67,002131,利欧股份,3.77,9.91,0.34,5207154.0,1907979836.58,10.2,3.77,3.42,3.48,3.43,1.91,8.9,59.08,1.97,25529605710.0,22053459318.0,0.0,0.0,1.89,22.01
68,301013,利和兴,17.03,9.87,1.53,254069.0,423408164.86,6.84,17.05,15.99,16.68,15.5,2.34,13.43,-204.17,4.75,3980644244.0,3222785095.0,0.18,0.65,45.18,44.94
69,300867,圣元环保,17.67,9.75,1.57,233803.0,396534104.27,12.8,17.94,15.88,15.88,16.1,1.81,12.2,18.82,1.28,4801664407.0,3386063615.0,-0.23,-0.11,38.81,36.66
70,603983,丸美生物,43.5,9.74,3.86,50907.0,214447939.0,10.09,43.6,39.6,39.6,39.64,2.89,1.27,32.29,4.96,17443500000.0,17443500000.0,-0.18,0.16,36.79,34.84
71,603319,美湖股份,37.98,9.71,3.36,206215.0,745808935.0,11.79,38.08,34.0,34.4,34.62,2.11,8.51,55.62,3.85,9220891580.0,9200646265.0,-0.05,0.72,50.83,92.79
72,832225,利通科技,17.85,9.71,1.58,64940.0,114762352.84,10.88,18.45,16.68,16.8,16.27,3.2,7.84,15.89,3.19,2265502258.0,1477661449.0,0.39,0.51,51.53,75.0
73,688128,中国电研,23.85,9.66,2.1,72034.0,168728544.0,6.99,24.12,22.6,22.6,21.75,4.91,1.78,19.08,2.88,9647325000.0,9647325000.0,0.08,-0.04,8.46,13.52
74,603030,全筑股份,2.39,9.63,0.21,639467.0,150548209.0,10.55,2.4,2.17,2.19,2.18,9.25,4.86,-28.58,3.33,3147471113.0,3147471113.0,0.0,0.0,-1.24,-4.78
75,300980,祥源新材,22.0,9.56,1.92,66515.0,143291395.1,10.41,22.2,20.11,20.21,20.08,2.65,6.76,105.88,2.17,3043851536.0,2163511856.0,0.09,0.82,-13.89,-3.93
76,688737,中自科技,19.17,9.54,1.67,31278.0,57378096.0,11.83,19.4,17.33,17.61,17.5,3.35,2.62,-85.35,1.26,2292051638.0,2292051638.0,0.58,2.4,14.11,7.64
77,300521,爱司凯,21.6,9.37,1.85,93531.0,200708543.52,14.38,22.22,19.38,19.4,19.75,6.59,6.5,-115.04,6.44,3110400000.0,3110372784.0,-0.51,-0.51,3.05,5.62
78,835174,五新隧装,31.84,9.04,2.64,26307.0,82583395.84,7.19,32.51,30.41,30.99,29.2,2.01,3.03,22.02,3.6,2865877581.0,2762176166.0,0.25,0.25,21.25,10.21
79,300007,汉威科技,41.32,8.94,3.39,341242.0,1358891074.8,9.6,41.6,37.96,39.0,37.93,1.36,12.06,199.72,4.74,13530052977.0,11692504315.0,1.13,1.97,41.51,102.05
80,600293,三峡新材,2.99,8.73,0.24,240896.0,68851688.0,9.45,3.01,2.75,2.77,2.75,4.4,2.08,83.5,1.98,3468833688.0,3468833688.0,3.82,4.18,-5.97,-5.08
81,605488,福莱新材,48.05,8.66,3.83,163253.0,765466509.0,12.98,48.64,42.9,43.5,44.22,1.95,8.23,69.44,6.33,9688819346.0,9526612637.0,0.57,0.5,44.34,128.7
82,300163,ST先锋,3.04,8.57,0.24,219470.0,65616327.0,5.0,3.07,2.93,2.99,2.8,4.35,5.16,14.39,2.83,1440960000.0,1293395515.0,0.66,0.0,21.6,29.91
83,688173,希荻微,12.59,8.53,0.99,76928.0,93631079.0,10.43,12.69,11.48,11.48,11.6,2.39,3.2,-17.78,3.49,5165791619.0,3023200479.0,-0.08,0.24,21.64,13.63
84,600184,光电股份,13.6,8.45,1.06,91174.0,119969199.0,8.37,13.6,12.55,12.62,12.54,3.85,1.79,1804.88,2.94,6919147234.0,6919147234.0,0.22,0.37,26.87,31.78
85,301396,宏景科技,82.12,8.45,6.4,149625.0,1219147304.2,12.23,86.49,77.23,78.41,75.72,2.77,30.04,103.98,7.4,9004900709.0,4090429227.0,-0.29,-0.71,166.71,192.45
86,600262,北方股份,20.4,8.45,1.59,157320.0,318253442.0,9.57,20.69,18.89,18.89,18.81,6.05,9.25,13.66,2.05,3468000000.0,3468000000.0,0.2,0.29,13.33,11.41
87,300473,德尔股份,26.99,8.44,2.1,90468.0,240386331.26,5.38,27.1,25.76,25.76,24.89,3.27,6.03,44.8,2.55,4074763996.0,4049849176.0,0.37,0.52,15.89,8.35
88,301151,冠龙节能,15.85,8.41,1.23,64923.0,103078767.63,16.07,16.97,14.62,14.94,14.62,7.15,11.65,82.11,1.3,2699792474.0,883430562.0,0.38,0.38,7.97,4.34
89,300819,聚杰微纤,24.44,8.33,1.88,75950.0,181291289.5,9.57,24.51,22.35,22.35,22.56,1.69,5.64,61.98,4.09,3646570200.0,3293589390.0,-0.04,0.12,90.64,88.0
90,002891,中宠股份,57.85,8.33,4.45,105661.0,589189684.68,10.24,58.7,53.23,53.57,53.4,1.81,3.58,46.81,6.48,17066918744.0,17066918744.0,0.09,0.0,52.52,62.04
91,603193,润本股份,38.41,8.29,2.94,35604.0,133150026.0,10.88,38.99,35.13,35.13,35.47,1.84,3.45,87.9,7.31,15540429191.0,3969147821.0,-0.34,-0.31,51.1,64.5
92,430478,峆一药业,26.15,8.28,2.0,44729.0,114560251.94,5.3,26.33,25.05,25.37,24.15,0.94,13.27,19.11,2.91,1470166075.0,881741965.0,-0.19,0.54,59.55,55.93
93,300972,万辰集团,150.3,8.25,11.45,54166.0,779439478.71,13.71,153.0,133.97,147.35,138.85,3.03,3.48,31.48,20.44,27052461078.0,23405940344.0,-0.96,-0.46,49.12,87.38
94,603286,日盈电子,31.16,8.23,2.37,151709.0,468816370.0,12.23,31.67,28.15,28.34,28.79,4.16,13.27,-122.67,4.17,3633004570.0,3561710490.0,1.0,0.97,28.76,59.14
95,002046,国机精工,15.43,8.13,1.16,170374.0,252387284.63,10.02,15.49,14.06,14.22,14.27,2.43,3.24,29.57,2.3,8274597264.0,8113718576.0,1.45,2.73,14.04,10.21
96,300538,同益股份,14.87,7.99,1.1,142718.0,214415753.9,12.85,15.54,13.77,13.77,13.77,5.73,12.61,209.35,2.82,2705129181.0,1682413822.0,-0.6,0.95,3.12,-2.36
97,834599,同力股份,21.64,7.82,1.57,107500.0,226930905.09,6.48,21.86,20.56,20.71,20.07,2.38,3.11,13.21,3.07,9900841000.0,7482015847.0,0.28,0.37,64.06,69.59
98,603062,麦加芯彩,50.15,7.78,3.62,25847.0,123430943.0,10.6,50.35,45.42,46.9,46.53,3.2,7.78,27.01,2.57,5416200000.0,1666023120.0,0.24,0.34,33.2,39.34
99,603611,诺力股份,19.0,7.77,1.37,97187.0,182037692.0,8.79,19.3,17.75,17.75,17.63,3.08,3.77,9.97,1.59,4894415029.0,4894415029.0,0.05,0.21,5.5,5.85
100,603980,吉华集团,4.72,7.76,0.34,296555.0,138309975.0,8.22,4.8,4.44,4.46,4.38,8.03,4.38,18.76,0.82,3194653459.0,3194653459.0,0.64,0.43,12.65,8.01
101,301230,泓博医药,28.78,7.75,2.07,92612.0,263511073.3,6.74,29.5,27.7,27.7,26.71,2.67,12.05,83.88,3.84,4017302492.0,2212039578.0,-0.21,-0.17,12.03,12.77
102,603855,华荣股份,20.73,7.74,1.49,66660.0,135887329.0,5.72,20.85,19.75,19.96,19.24,5.86,2.0,15.07,3.13,6996976170.0,6914574420.0,0.44,0.39,1.47,2.17
103,688219,会通股份,12.69,7.72,0.91,163220.0,204895481.0,9.93,12.95,11.78,11.82,11.78,2.93,3.42,30.57,2.75,6062653337.0,6062653337.0,-0.16,-0.24,14.53,23.68
104,301112,信邦智能,28.26,7.7,2.02,48926.0,135090546.34,9.34,28.5,26.05,26.05,26.24,2.52,13.49,65.73,2.53,3116134116.0,1024620248.0,0.43,0.43,15.82,20.92
105,300630,普利退,0.7,7.69,0.05,298958.0,20494812.51,9.23,0.72,0.66,0.68,0.65,0.86,6.67,-3.0,0.13,392916546.0,313556747.0,0.0,1.45,-70.71,-89.72
106,002284,亚太股份,11.13,7.64,0.79,351024.0,385583865.05,8.12,11.24,10.4,10.4,10.34,2.62,4.8,20.53,2.73,8226186873.0,8138413745.0,-0.09,0.09,37.92,43.8
107,832149,利尔达,14.38,7.63,1.02,84287.0,118999520.15,8.68,14.69,13.53,13.71,13.36,1.59,7.3,510.1,8.67,6063039400.0,1659606240.0,0.14,0.0,56.64,62.12
108,603922,金鸿顺,17.08,7.62,1.21,55336.0,90590758.0,10.02,17.17,15.58,15.99,15.87,1.42,3.09,-147.45,3.02,3060736000.0,3060736000.0,-0.06,0.06,-23.41,-31.52
109,002642,荣联科技,7.65,7.44,0.53,743046.0,567282851.15,12.08,7.83,6.97,7.06,7.12,4.46,11.23,1427.94,4.32,5061089394.0,5061089394.0,-0.39,0.0,1.06,6.99
110,300611,美力科技,27.28,7.36,1.87,256785.0,687538540.06,9.33,27.66,25.29,25.29,25.41,2.07,17.31,42.35,5.1,5758117270.0,4045705294.0,0.33,0.55,125.64,158.09
111,300480,光力科技,12.9,7.32,0.88,95405.0,121339286.25,4.83,12.95,12.37,12.45,12.02,5.27,4.03,63.75,3.51,4551501866.0,3052766682.0,-0.15,0.16,3.37,-0.39
112,002886,沃特股份,20.25,7.31,1.38,400344.0,812759773.71,11.13,20.76,18.66,18.66,18.87,5.42,19.15,145.64,3.0,5329872191.0,4233832821.0,0.2,-0.25,13.96,21.84
113,300922,天秦装备,21.81,7.28,1.48,137401.0,296897507.57,9.94,22.3,20.28,20.5,20.33,2.77,11.94,92.51,3.72,3420052272.0,2509973621.0,0.23,0.32,55.23,51.99
114,301029,怡合达,21.72,7.26,1.47,132545.0,286516198.86,7.9,22.36,20.76,20.97,20.25,4.49,3.28,28.28,3.25,13774882905.0,8779837047.0,-0.28,-0.32,-17.29,-12.14
115,300673,佩蒂股份,15.14,7.22,1.02,102122.0,151423329.59,10.2,15.5,14.06,14.07,14.12,1.79,6.3,42.37,2.04,3767257313.0,2452532552.0,-0.85,-1.43,-17.18,-14.61
116,603639,海利尔,12.52,7.19,0.84,58814.0,73307178.0,4.37,12.68,12.17,12.17,11.68,6.96,1.73,10.14,1.2,4255527167.0,4255276767.0,0.0,0.08,0.56,0.97
117,301283,聚胶股份,30.0,7.14,2.0,38239.0,112011680.75,10.75,30.39,27.38,27.94,28.0,4.99,8.41,16.89,1.55,2400000000.0,1363685370.0,1.15,2.04,17.51,19.0
118,300019,硅宝科技,18.72,7.03,1.23,211054.0,388290594.85,7.55,18.83,17.51,17.55,17.49,3.96,6.11,25.95,2.93,7359144624.0,6463881422.0,-0.05,-0.58,31.28,27.87
119,300829,金丹科技,19.33,7.03,1.27,100944.0,193848347.43,10.58,19.74,17.83,17.96,18.06,2.67,7.64,24.08,2.1,3719125209.0,2554139434.0,-0.05,0.1,21.65,2.87
120,688558,国盛智科,23.69,6.95,1.54,13790.0,32181315.0,4.7,23.73,22.69,22.69,22.15,2.91,1.04,22.57,1.87,3127080000.0,3127080000.0,0.25,0.3,6.42,10.96
121,301300,远翔新材,33.39,6.95,2.17,33687.0,109912332.0,6.79,33.6,31.48,31.88,31.22,3.4,11.02,31.64,2.64,2154990600.0,1020984127.0,0.03,-0.03,23.94,29.77
122,300869,康泰医学,13.27,6.93,0.86,79619.0,105564040.55,4.51,13.5,12.94,13.04,12.41,5.77,3.14,81.1,2.89,5331925505.0,3362100390.0,0.08,0.0,1.22,-4.81
123,300147,ST香雪,5.9,6.88,0.38,210962.0,124323607.2,5.62,6.05,5.74,5.74,5.52,2.25,3.21,-11.12,4.03,3901546366.0,3879008348.0,0.17,0.17,-38.03,-39.61
124,300451,创业慧康,5.59,6.88,0.36,849816.0,470362096.22,11.09,5.75,5.17,5.22,5.23,2.84,5.57,-138.36,1.97,8659607028.0,8534218174.0,0.0,0.0,35.02,24.78
125,688536,思瑞浦,156.0,6.84,9.99,46845.0,719296987.0,5.65,157.47,149.22,150.0,146.01,1.51,3.53,332.29,3.91,20685825264.0,20685825264.0,0.3,0.41,72.39,68.65
126,603808,歌力思,7.07,6.8,0.45,80577.0,56353635.0,6.19,7.13,6.72,6.72,6.62,5.2,2.18,15.93,1.03,2609486647.0,2609486647.0,0.71,0.71,0.71,1.14
127,603696,安记食品,17.11,6.74,1.08,608296.0,1045982283.0,11.6,17.63,15.77,15.8,16.03,2.25,25.86,161.08,6.88,4024272000.0,4024272000.0,-0.7,-0.87,110.46,108.66
128,688320,禾川科技,43.86,6.72,2.76,69297.0,298049345.0,8.71,44.18,40.6,41.1,41.1,1.84,6.25,-61.47,5.12,6623459478.0,4863038334.0,-0.68,-0.14,-7.92,12.75
129,873833,美心翼申,18.78,6.7,1.18,21091.0,39051058.9,6.36,18.97,17.85,18.02,17.6,1.17,6.65,36.25,2.5,1546720800.0,595839333.0,0.27,-0.05,62.74,64.74
130,301210,金杨股份,64.37,6.68,4.03,45798.0,289926552.88,11.78,67.11,60.0,60.92,60.34,1.23,14.65,142.06,2.9,5307715636.0,2012785916.0,-0.31,-0.03,55.9,109.47
131,688011,新光光电,16.23,6.64,1.01,12990.0,20684003.0,6.9,16.28,15.23,15.69,15.22,4.06,1.3,-33.84,1.5,1623000000.0,1623000000.0,0.74,0.74,6.15,5.94
132,300032,金龙机电,4.18,6.63,0.26,304479.0,126185184.0,5.1,4.21,4.01,4.06,3.92,4.37,3.79,50.88,4.95,3357248961.0,3357240601.0,0.0,0.0,-4.78,-7.32
133,301070,开勒股份,55.66,6.63,3.46,12038.0,65824890.49,7.47,55.78,51.88,52.19,52.2,3.12,2.83,-173.8,4.7,3593142432.0,2365639056.0,0.38,0.89,7.83,0.25
134,839946,华阳变速,9.2,6.6,0.57,103213.0,92209247.52,11.7,9.31,8.3,8.56,8.63,2.61,10.64,56.78,5.49,1241912076.0,892663074.0,0.11,0.33,41.76,44.88
135,600315,上海家化,23.78,6.59,1.47,106645.0,247294987.0,8.02,23.95,22.16,22.34,22.31,1.88,1.59,18.41,2.33,15985533804.0,15985533804.0,-0.08,-0.42,48.53,40.63
136,003001,中岩大地,42.16,6.57,2.6,42578.0,175808039.22,7.79,42.68,39.6,40.8,39.56,2.83,5.8,128.76,4.4,5343016314.0,3094982506.0,-0.14,0.31,0.17,-8.35
137,002853,皮阿诺,14.67,6.54,0.9,30393.0,44307547.0,7.7,14.84,13.78,13.78,13.77,2.34,2.3,-172.6,2.93,2736582113.0,1941304792.0,-0.14,-0.07,26.25,33.73
