序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4166,002881,美格智能,46.54,-0.32,-0.15,91280.0,423021498.66,3.11,46.88,45.43,46.6,46.69,1.28,5.04,65.78,7.53,12184257820.0,8426520951.0,0.09,0.26,27.23,55.34
4167,301048,金鹰重工,9.11,-0.33,-0.03,29036.0,26451912.0,1.64,9.16,9.01,9.05,9.14,0.59,0.54,34.73,1.81,4858667274.0,4858667274.0,0.0,0.0,4.35,-2.77
4168,601156,东航物流,12.12,-0.33,-0.04,78063.0,94301068.0,1.32,12.16,12.0,12.07,12.16,0.69,0.83,8.82,1.07,19241173339.0,11448498139.0,0.0,0.08,-29.04,-28.16
4169,601601,中国太保,30.37,-0.33,-0.1,93176.0,283815542.0,1.51,30.77,30.31,30.39,30.47,0.67,0.14,7.59,1.11,292169769988.0,207883908988.0,-0.03,-0.03,-6.61,-10.89
4170,600624,复旦复华,6.03,-0.33,-0.02,77963.0,46936354.0,2.64,6.09,5.93,6.06,6.05,1.08,1.15,-95.39,5.3,4096462060.0,4096462060.0,0.17,0.17,0.84,-8.22
4171,001210,金房能源,14.91,-0.33,-0.05,28656.0,42945753.08,3.07,15.21,14.75,14.95,14.96,1.98,3.61,3.75,1.41,1948397499.0,1184134353.0,-0.13,-0.27,9.31,6.73
4172,600193,创兴资源,2.99,-0.33,-0.01,43956.0,13133756.0,3.0,3.04,2.95,2.95,3.0,0.73,1.03,-48.56,4.59,1271865270.0,1271865270.0,0.0,0.0,-0.99,-11.8
4173,600778,友好集团,6.08,-0.33,-0.02,86769.0,52894158.0,1.64,6.15,6.05,6.13,6.1,0.41,2.79,596.29,8.71,1893867420.0,1892186483.0,0.16,0.0,-15.91,-33.11
4174,601916,浙商银行,3.02,-0.33,-0.01,929095.0,281292193.0,1.32,3.05,3.01,3.03,3.03,1.31,0.43,5.46,0.48,82943200608.0,65064196608.0,0.0,0.0,5.23,3.78
4175,000913,钱江摩托,15.12,-0.33,-0.05,26199.0,39729506.88,1.91,15.3,15.01,15.08,15.17,0.48,0.57,22.96,1.63,7962358320.0,6951333060.0,0.07,0.13,-23.4,-16.05
4176,600958,东方证券,9.11,-0.33,-0.03,80283.0,73346306.0,0.77,9.17,9.1,9.13,9.14,0.74,0.11,13.48,0.94,77404438610.0,68046988891.0,0.0,-0.11,-8.07,-13.73
4177,002101,广东鸿图,11.74,-0.34,-0.04,57781.0,67504443.12,3.14,11.83,11.46,11.62,11.78,0.86,0.87,43.21,0.99,7799777046.0,7774195116.0,0.0,0.09,-0.09,-2.0
4178,600187,国中水务,2.97,-0.34,-0.01,449238.0,133921887.0,3.36,3.02,2.92,2.96,2.98,0.72,2.78,399.5,1.51,4792929876.0,4792929876.0,0.0,0.0,3.13,-11.61
4179,300226,上海钢联,20.37,-0.34,-0.07,50124.0,102414889.19,2.5,20.62,20.11,20.2,20.44,1.29,1.64,31.29,3.18,6492355366.0,6240464876.0,0.05,0.1,-13.87,-10.93
4180,300750,宁德时代,234.05,-0.34,-0.8,87161.0,2026807424.2,1.74,234.8,230.72,234.0,234.85,1.07,0.22,18.45,4.27,1030614578920.0,913393309739.0,0.01,0.02,-8.6,-10.06
4181,688581,安杰思,58.64,-0.34,-0.2,2794.0,16447901.0,1.24,59.36,58.63,59.33,58.84,0.5,0.69,21.11,1.93,4748596480.0,2389503182.0,-0.02,-0.15,-0.19,-1.76
4182,603222,济民健康,5.83,-0.34,-0.02,29870.0,17280435.0,3.42,5.88,5.68,5.7,5.85,0.95,0.57,-56.12,2.1,3061278285.0,3061278285.0,-0.17,0.0,-9.75,-14.14
4183,301592,六九一二,130.3,-0.34,-0.45,2380.0,31144306.0,1.22,131.6,130.0,130.03,130.75,0.48,1.36,-132.54,9.8,9121000000.0,2280250000.0,-0.01,-0.18,-3.17,-10.45
